id(T),xyz(T),ID_LeftLane(L),ID_RightLane(L),lateral_id(L),direction(L),speed_min_limit(L),speed_max_limit(L)
0,429817.082 4414854.633 59.781 429816.297 4414850.729 59.851 429815.517 4414846.793 59.903 429814.738 4414842.864 59.925 429813.923 4414838.955 59.946 429813.354 4414836.142 59.978 429812.585 4414832.209 59.982 429811.812 4414828.287 59.989 429811.006 4414824.369 60.004 429810.219 4414820.446 60.013 429809.505 4414816.848 60.013 429808.718 4414812.933 60.031 429807.937 4414809.007 60.043 429807.139 4414805.087 60.073 429806.336 4414801.164 60.073 429805.593 4414797.545 60.082 429804.800 4414793.619 60.086 429804.021 4414789.694 60.011 429803.239 4414785.771 59.985 429802.440 4414781.852 59.950 429801.635 4414777.938 59.855 429800.837 4414774.022 59.820 429800.040 4414770.098 59.772 429799.251 4414766.173 59.660 429798.457 4414762.256 59.531 429797.658 4414758.337 59.531 429796.865 4414754.413 59.450 429796.068 4414750.501 59.444 429795.283 4414746.579 59.526 429794.500 4414742.656 59.526 429793.707 4414738.735 59.532 429792.905 4414734.817 59.553 429792.111 4414730.896 59.553 429791.320 4414726.975 59.567 429790.530 4414723.054 59.567 429789.747 4414719.144 59.594 429788.972 4414715.221 59.615 429788.177 4414711.284 59.629 429787.367 4414707.367 59.639 429786.594 4414703.452 59.641 429785.826 4414699.595 59.641 429785.053 4414695.671 59.653 429784.257 4414691.745 59.662 429783.465 4414687.834 59.669 429782.667 4414683.907 59.677 429781.882 4414679.985 59.682 429781.077 4414676.066 59.689 429780.291 4414672.148 59.694 429779.491 4414668.228 59.705 429778.698 4414664.308 59.710 429777.909 4414660.387 59.713 429777.121 4414656.465 59.713 429776.336 4414652.544 59.716 429775.541 4414648.623 59.685 429774.745 4414644.703 59.685 429773.953 4414640.783 59.682 429773.161 4414636.862 59.682 429772.365 4414632.942 59.672 429771.572 4414629.021 59.658 429770.784 4414625.099 59.658 429769.996 4414621.178 59.668 429769.208 4414617.256 59.660 429768.417 4414613.335 59.663 429767.636 4414609.410 59.662 429766.880 4414605.482 59.662,,0,0,0,0,0
1,429820.661 4414853.913 59.816 429819.862 4414850.048 59.886 429818.946 4414846.111 59.898 429818.137 4414842.178 59.916 429817.337 4414838.279 59.964 429816.768 4414835.469 60.019 429816.000 4414831.523 60.029 429815.225 4414827.606 60.040 429814.421 4414823.688 60.047 429813.633 4414819.762 60.063 429812.913 4414816.155 60.087 429812.124 4414812.253 60.097 429811.337 4414808.322 60.094 429810.541 4414804.402 60.115 429809.736 4414800.470 60.133 429808.999 4414796.865 60.141 429808.200 4414792.929 60.132 429807.412 4414789.004 60.090 429806.634 4414785.078 60.002 429805.837 4414781.159 59.968 429805.038 4414777.251 59.901 429804.241 4414773.342 59.840 429803.441 4414769.410 59.840 429802.649 4414765.476 59.674 429801.860 4414761.562 59.594 429801.069 4414757.642 59.546 429800.274 4414753.711 59.499 429799.484 4414749.811 59.490 429798.700 4414745.889 59.612 429797.920 4414741.965 59.612 429797.131 4414738.044 59.618 429796.332 4414734.125 59.638 429795.542 4414730.204 59.638 429794.754 4414726.282 59.653 429793.967 4414722.360 59.653 429793.192 4414718.473 59.680 429792.410 4414714.553 59.680 429791.595 4414710.586 59.686 429790.784 4414706.669 59.686 429790.027 4414702.773 59.688 429789.269 4414698.900 59.688 429788.499 4414694.975 59.698 429787.685 4414691.041 59.713 429786.884 4414687.151 59.716 429786.080 4414683.210 59.719 429785.298 4414679.287 59.733 429784.525 4414675.363 59.739 429783.764 4414671.445 59.755 429782.967 4414667.526 59.759 429782.172 4414663.606 59.764 429781.385 4414659.684 59.770 429780.601 4414655.761 59.770 429779.812 4414651.842 59.773 429779.004 4414647.925 59.769 429778.194 4414644.008 59.763 429777.405 4414640.086 59.760 429776.617 4414636.165 59.760 429775.813 4414632.246 59.746 429775.022 4414628.325 59.724 429774.244 4414624.402 59.724 429773.467 4414620.478 59.734 429772.669 4414616.558 59.721 429771.878 4414612.637 59.718 429771.098 4414608.708 59.717 429770.360 4414604.777 59.709,,0,0,0,0,0
2,429817.942 4414818.898 60.044 429818.750 4414822.824 60.077 429819.544 4414826.745 60.028 429820.316 4414830.655 59.948 429821.132 4414834.609 59.880 429821.681 4414837.418 59.880 429822.443 4414841.309 59.880 429823.248 4414845.256 59.865 429824.092 4414849.240 59.820 429824.836 4414853.073 59.808,,0,0,0,0,0
3,429821.356 4414818.213 60.007 429822.153 4414822.145 59.995 429822.928 4414826.070 59.983 429823.700 4414829.975 59.825 429824.503 4414833.945 59.825 429825.070 4414836.747 59.825 429825.854 4414840.621 59.825 429826.659 4414844.578 59.798 429828.133 4414848.468 59.798 429829.022 4414850.583 59.798,,0,0,0,0,0
4,429793.591 4414698.027 59.642 429794.374 4414701.912 59.550 429795.149 4414705.778 59.550 429795.936 4414709.700 59.550 429796.740 4414713.713 59.550 429797.526 4414717.630 59.550 429798.299 4414721.485 59.550 429799.086 4414725.407 59.550 429799.872 4414729.329 59.550 429800.659 4414733.251 59.550 429801.471 4414737.168 59.525 429802.267 4414741.088 59.516 429803.035 4414745.013 59.516 429803.818 4414748.936 59.547 429804.606 4414752.819 59.616 429805.385 4414756.762 59.680 429806.170 4414760.683 59.730 429806.972 4414764.589 59.821 429807.786 4414768.530 59.934 429808.576 4414772.476 59.992 429809.356 4414776.379 60.026 429810.163 4414780.275 60.097 429810.965 4414784.194 60.159 429811.759 4414788.119 60.159 429812.547 4414792.047 60.138 429813.348 4414795.998 60.164 429814.071 4414799.586 60.142 429814.863 4414803.532 60.142 429815.660 4414807.452 60.072 429816.442 4414811.390 60.072 429817.211 4414815.281 60.056 429817.942 4414818.898 60.044,,0,0,0,0,0
5,429796.980 4414697.342 59.675 429797.768 4414701.240 59.540 429798.545 4414705.086 59.540 429799.337 4414709.006 59.540 429800.154 4414713.050 59.540 429800.945 4414716.965 59.540 429801.719 4414720.795 59.540 429802.511 4414724.716 59.540 429803.304 4414728.636 59.540 429804.096 4414732.557 59.540 429804.906 4414736.474 59.612 429805.702 4414740.394 59.603 429806.470 4414744.320 59.603 429807.252 4414748.243 59.634 429808.041 4414752.111 59.634 429808.828 4414756.060 59.698 429809.609 4414759.982 59.698 429810.396 4414763.887 59.758 429811.178 4414767.843 59.879 429811.974 4414771.797 59.925 429812.762 4414775.691 59.972 429813.568 4414779.580 60.057 429814.360 4414783.501 60.092 429815.148 4414787.429 60.103 429815.939 4414791.359 60.091 429816.749 4414795.319 60.085 429817.472 4414798.892 60.066 429818.268 4414802.846 60.058 429819.061 4414806.767 60.038 429819.858 4414810.708 60.029 429820.632 4414814.585 60.014 429821.356 4414818.213 60.007,,0,0,0,0,0
6,429787.517 4414650.288 59.691 429788.334 4414654.198 59.691 429789.103 4414658.123 59.689 429789.925 4414662.038 59.675 429790.708 4414665.960 59.675 429791.492 4414669.883 59.675 429792.271 4414673.781 59.675 429793.055 4414677.704 59.675 429793.839 4414681.626 59.675 429794.634 4414685.603 59.675 429795.404 4414689.456 59.675 429796.196 4414693.420 59.675 429796.980 4414697.342 59.675,,0,0,0,0,0
7,429784.091 4414650.979 59.758 429784.885 4414654.895 59.790 429785.680 4414658.815 59.790 429786.474 4414662.735 59.784 429787.267 4414666.656 59.784 429788.061 4414670.577 59.749 429788.853 4414674.479 59.749 429789.641 4414678.401 59.773 429790.444 4414682.319 59.770 429791.240 4414686.281 59.722 429792.010 4414690.153 59.760 429792.801 4414694.106 59.760 429793.591 4414698.027 59.760,,0,0,0,0,0
8,429767.558 4414551.715 59.628 429767.658 4414552.220 59.628 429768.101 4414554.483 59.628 429768.907 4414558.408 59.636 429769.716 4414562.325 59.641 429770.510 4414566.255 59.650 429771.295 4414570.180 59.650 429772.099 4414574.111 59.669 429772.879 4414578.021 59.669 429773.668 4414581.942 59.671 429774.455 4414585.829 59.680 429775.256 4414589.777 59.690 429776.055 4414593.709 59.694 429776.414 4414595.498 59.694 429777.180 4414599.312 59.694 429777.992 4414603.229 59.703 429778.757 4414607.155 59.707 429779.531 4414611.094 59.702 429780.341 4414615.011 59.710 429781.167 4414618.925 59.710 429781.957 4414622.846 59.716 429782.741 4414626.768 59.743 429783.550 4414630.686 59.719 429784.352 4414634.604 59.719 429785.130 4414638.528 59.719 429785.908 4414642.452 59.717 429786.705 4414646.371 59.718 429787.517 4414650.288 59.715,,0,0,0,0,0
9,429764.066 4414552.023 59.566 429764.190 4414552.526 59.560 429764.714 4414555.170 59.587 429765.527 4414559.092 59.596 429766.339 4414563.008 59.625 429767.125 4414566.938 59.634 429767.901 4414570.864 59.634 429768.697 4414574.793 59.654 429769.486 4414578.704 59.662 429770.287 4414582.623 59.714 429771.069 4414586.520 59.722 429771.869 4414590.461 59.739 429772.671 4414594.389 59.755 429773.027 4414596.155 59.755 429773.797 4414599.998 59.761 429774.605 4414603.916 59.731 429775.370 4414607.842 59.783 429776.139 4414611.778 59.732 429776.956 4414615.693 59.740 429777.786 4414619.607 59.792 429778.572 4414623.528 59.758 429779.356 4414627.451 59.833 429780.161 4414631.369 59.814 429780.947 4414635.291 59.814 429781.745 4414639.211 59.814 429782.513 4414643.136 59.816 429783.296 4414647.059 59.811 429784.091 4414650.979 59.758,,0,0,0,0,0
